Area,Item,Year,Area_Harvested_ha,Production_ton,Yield_kg_ha
Albania,"Peas, green",2023,547.0,7143.15,13049.2
Albania,Potatoes,2019,10164.0,260661.0,25645.5
Albania,Potatoes,2020,9701.0,254886.0,26274.2
Albania,Potatoes,2021,10378.0,258862.0,24943.3
Albania,Potatoes,2022,9910.0,262673.0,26505.9
Albania,Potatoes,2023,10068.0,274188.2,27233.1
Albania,Quinces,2019,87.0,4844.0,55678.2
Albania,Quinces,2020,89.0,5064.0,56898.9
Albania,Quinces,2021,89.0,5001.0,55939.6
Albania,Quinces,2022,91.0,5330.0,58571.4
Albania,Quinces,2023,91.0,5082.15,55713.1
Albania,Raw hides and skins of goats or kids,2019,171281.03645017848,1944.48,25.0
Albania,Raw hides and skins of goats or kids,2020,171281.03645017848,1928.51,26.0
Albania,Raw hides and skins of goats or kids,2021,171281.03645017848,1707.16,24.0
Albania,Raw hides and skins of goats or kids,2022,171281.03645017848,1840.5,28.0
Albania,Raw hides and skins of goats or kids,2023,171281.03645017848,1786.26,33.0
Albania,Raw milk of goats,2019,171281.03645017848,86480.0,1289.0
Albania,Raw milk of goats,2020,171281.03645017848,82600.0,1294.0
Albania,Raw milk of goats,2021,171281.03645017848,82580.0,1317.0
Albania,Raw milk of goats,2022,171281.03645017848,78478.79,1324.0
Albania,Raw milk of goats,2023,171281.03645017848,72852.0,1337.0
Albania,Rye,2019,1183.0,2572.0,2174.1
Albania,Rye,2020,1321.0,3244.0,2455.7
Albania,Rye,2021,1318.0,3293.0,2498.5
Albania,Rye,2022,1313.0,3115.0,2372.4
Albania,Rye,2023,1277.0,3012.5,2359.0
Albania,Sour cherries,2019,3287.0,18230.93,5546.3
Albania,Sour cherries,2020,3187.0,17848.67,5600.1
Albania,Sour cherries,2021,3223.0,17857.77,5540.5
Albania,Sour cherries,2022,3232.0,17979.12,5562.0
Albania,Sour cherries,2023,3214.0,17895.18,5567.4
Albania,Soya beans,2019,219.0,605.0,2762.6
Albania,Soya beans,2020,171.0,441.0,2578.9
Albania,Soya beans,2021,155.0,373.0,2414.2
Albania,Soya beans,2022,239.0,686.0,2870.3
Albania,Soya beans,2023,181.0,519.1,2863.2
Albania,Strawberries,2019,121.0,5273.0,43578.5
Albania,Strawberries,2020,121.0,5446.0,45008.3
Albania,Strawberries,2021,120.0,5723.3,47853.7
Albania,Strawberries,2022,131.0,6290.0,48051.9
Albania,Strawberries,2023,119.0,6370.0,53350.1
Albania,Sunflower seed,2019,439.0,1013.0,2307.5
Albania,Sunflower seed,2020,542.0,1259.0,2322.9
Albania,Sunflower seed,2021,389.0,925.5,2379.2
Albania,Sunflower seed,2022,333.0,789.0,2369.4
Albania,Sunflower seed,2023,327.0,770.0,2354.7
Albania,"Tangerines, mandarins, clementines",2019,992.0,31235.0,31486.9
Albania,"Tangerines, mandarins, clementines",2020,1024.0,32159.0,31405.3
Albania,"Tangerines, mandarins, clementines",2021,1028.0,32835.8,31953.9
Albania,"Tangerines, mandarins, clementines",2022,1066.0,35161.0,32984.1
Albania,"Tangerines, mandarins, clementines",2023,1099.0,36043.02,32807.8
Albania,Tomatoes,2019,6663.0,299669.0,44975.1
Albania,Tomatoes,2020,6859.0,313109.0,45649.4
Albania,Tomatoes,2021,6693.0,314470.1,46988.4
Albania,Tomatoes,2022,6660.0,315057.3,47305.2
Albania,Tomatoes,2023,6412.0,309343.49,48246.3
Albania,Watermelons,2019,5809.0,259697.0,44706.0
Albania,Watermelons,2020,5453.0,248724.0,45612.3
Albania,Watermelons,2021,5880.0,270944.1,46082.1
Albania,Watermelons,2022,5470.0,256798.2,46946.7
Albania,Watermelons,2023,5848.0,281354.0,48111.6
Albania,Wheat,2019,57330.0,233218.0,4068.0
Albania,Wheat,2020,53946.0,233430.0,4327.1
Albania,Wheat,2021,54514.0,225170.9,4130.5
Albania,Wheat,2022,54267.0,233145.0,4296.3
Albania,Wheat,2023,57620.0,233584.68,4053.9
Algeria,"Almonds, in shell",2019,35380.0,72412.0,2046.7
Algeria,"Almonds, in shell",2020,34542.0,60832.0,1761.1
Algeria,"Almonds, in shell",2021,32492.0,55448.0,1706.5
Algeria,"Almonds, in shell",2022,38495.0,66232.31,1720.5
Algeria,"Almonds, in shell",2023,38544.0,69637.53,1806.7
Algeria,Apples,2019,32989.0,558830.0,16939.9
Algeria,Apples,2020,33025.0,566823.5,17163.5
Algeria,Apples,2021,31171.0,522317.0,16756.3
Algeria,Apples,2022,32636.0,549391.71,16834.0
Algeria,Apples,2023,32149.0,575880.85,17912.9
Algeria,Apricots,2019,30861.0,209204.0,6778.9
Algeria,Apricots,2020,29719.0,187273.2,6301.5
Algeria,Apricots,2021,27185.0,189724.0,6979.1
Algeria,Apricots,2022,29765.0,205996.35,6920.7
Algeria,Apricots,2023,28965.0,200566.42,6924.5
Algeria,Artichokes,2019,5792.0,119636.0,20655.4
Algeria,Artichokes,2020,5830.0,126762.2,21743.1
Algeria,Artichokes,2021,5656.0,120932.0,21383.1
Algeria,Artichokes,2022,5543.0,124352.88,22434.8
Algeria,Artichokes,2023,6019.0,139912.08,23246.3
Algeria,Bananas,2019,10.0,242.52,24727.8
Algeria,Bananas,2020,10.0,234.99,24620.2
Algeria,Bananas,2021,9.0,232.73,24597.3
Algeria,Bananas,2022,10.0,236.75,24649.3
Algeria,Bananas,2023,10.0,234.82,24622.4
Algeria,Barley,2019,1133005.0,1647746.0,1454.3
Algeria,Barley,2020,978114.0,1213137.0,1240.3
Algeria,Barley,2021,525631.0,555364.0,1056.6
Algeria,Barley,2022,1025000.0,1000000.0,975.6
Algeria,Barley,2023,1025000.0,1000000.0,975.6
Algeria,"Beer of barley, malted",2019,171281.03645017848,160000.0,12705.65079886103
Algeria,"Beer of barley, malted",2020,171281.03645017848,135000.0,12705.65079886103
Algeria,"Beer of barley, malted",2021,171281.03645017848,180000.0,12705.65079886103
Algeria,"Beer of barley, malted",2022,171281.03645017848,150800.0,12705.65079886103
Algeria,Cabbages,2019,4317.0,116426.0,26969.2
Algeria,Cabbages,2020,4104.0,124204.1,30266.0
Algeria,Cabbages,2021,4904.0,158045.0,32224.7
Algeria,Cabbages,2022,4812.0,155681.73,32350.0
Algeria,Cabbages,2023,4570.0,148598.9,32513.4
Algeria,Carrots and turnips,2019,17469.0,419534.0,24015.9
Algeria,Carrots and turnips,2020,17414.0,447595.3,25703.2
Algeria,Carrots and turnips,2021,16956.0,414322.0,24435.7
Algeria,Carrots and turnips,2022,16345.0,422239.98,25833.2
Algeria,Carrots and turnips,2023,16109.0,436621.07,27104.6
Algeria,Cauliflowers and broccoli,2019,8629.0,205439.0,23808.0
Algeria,Cauliflowers and broccoli,2020,8891.0,242990.2,27330.3
Algeria,Cauliflowers and broccoli,2021,9425.0,238712.0,25328.8
Algeria,Cauliflowers and broccoli,2022,8990.0,241933.28,26910.4
Algeria,Cauliflowers and broccoli,2023,9594.0,268699.96,28005.9
Algeria,Cherries,2019,3432.0,11237.0,3274.2
Algeria,Cherries,2020,3555.0,11207.0,3152.5
Algeria,Cherries,2021,3788.0,11178.0,2950.9
Algeria,Cherries,2022,3803.0,11160.32,2934.7
Algeria,Cherries,2023,3875.0,11584.51,2989.6
Algeria,"Chick peas, dry",2019,36206.0,40369.0,1115.0
Algeria,"Chick peas, dry",2020,36743.0,39888.9,1085.6
Algeria,"Chick peas, dry",2021,36520.0,38818.0,1062.9
Algeria,"Chick peas, dry",2022,34584.0,38576.89,1115.5
Algeria,"Chick peas, dry",2023,34067.0,39969.67,1173.3
Algeria,Cucumbers and gherkins,2019,4078.0,166045.0,40717.3
Algeria,Cucumbers and gherkins,2020,4470.0,184362.0,41244.3
Algeria,Cucumbers and gherkins,2021,4321.0,182890.0,42326.2
Algeria,Cucumbers and gherkins,2022,4303.0,190051.57,44166.5
Algeria,Cucumbers and gherkins,2023,4324.0,199307.94,46094.7
Algeria,Dates,2019,169786.0,1136025.0,6690.9
Algeria,Dates,2020,170500.0,1151909.3,6756.1
Algeria,Dates,2021,172033.0,1188803.0,6910.3
Algeria,Dates,2022,175454.0,1244466.87,7092.9
Algeria,Dates,2023,179150.0,1324767.01,7394.7
Algeria,Figs,2019,39438.0,114092.0,2892.9
Algeria,Figs,2020,39026.0,116143.0,2976.0
Algeria,Figs,2021,39065.0,107266.0,2745.9
Algeria,Figs,2022,40136.0,115170.35,2869.5
Algeria,Figs,2023,38374.0,116183.18,3027.7
Algeria,Grapes,2019,68649.0,549833.0,8009.3
Algeria,Grapes,2020,69319.0,554201.1,7994.9
Algeria,Grapes,2021,63443.0,630022.0,9930.5
Algeria,Grapes,2022,63816.0,619317.68,9704.8
Algeria,Grapes,2023,64465.0,619740.16,9613.7
Algeria,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",2021,171281.03645017848,3329.76,12705.65079886103
Algeria,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",2022,171281.03645017848,3122.88,12705.65079886103
Algeria,Lemons and limes,2019,3994.0,87016.0,21786.7
Algeria,Lemons and limes,2020,3991.0,85303.0,21373.8
Algeria,Lemons and limes,2021,4053.0,84018.0,20731.5
Algeria,Lemons and limes,2022,4008.0,85874.62,21427.9
Algeria,Lemons and limes,2023,4034.0,89860.27,22277.4
Algeria,Mushrooms and truffles,2019,171281.03645017848,763.13,12705.65079886103
Algeria,Mushrooms and truffles,2020,171281.03645017848,1161.96,12705.65079886103
Algeria,Mushrooms and truffles,2021,171281.03645017848,1141.93,12705.65079886103
Algeria,Mushrooms and truffles,2022,171281.03645017848,1169.21,12705.65079886103
